locale,file,url,destination,nationality,indexable,canonical,word_count_main,unique_content_ratio,similarity_to_same_destination_pages,historical_clicks,historical_impressions,historical_best_position,external_backlinks_if_known,visa_rule_specific_to_nationality,unique_search_intent,recommended_action,target_url,reason
ru,www2/ru/indonesia-visa-for-singaporean-citizens.html,/ru/indonesia-visa-for-singaporean-citizens,indonesia,singaporean,yes,https://www.evisa-card.com/ru/indonesia-visa-for-singaporean-citizens,297,0.4377,0.5623,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa) different du regime majoritaire (evisa|voa)
ru,www2/ru/indonesia-visa-for-south-african-citizens.html,/ru/indonesia-visa-for-south-african-citizens,indonesia,south-african,yes,https://www.evisa-card.com/ru/indonesia-visa-for-south-african-citizens,431,0.288,0.712,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 28.8%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/indonesia-visa-for-turkish-citizens.html,/ru/indonesia-visa-for-turkish-citizens,indonesia,turkish,yes,https://www.evisa-card.com/ru/indonesia-visa-for-turkish-citizens,414,0.3222,0.6778,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 32.2%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/indonesia-visa-for-uk-citizens.html,/ru/indonesia-visa-for-uk-citizens,indonesia,uk,yes,https://www.evisa-card.com/ru/indonesia-visa-for-uk-citizens,297,0.2483,0.7517,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 24.8%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/indonesia-visa-for-us-citizens.html,/ru/indonesia-visa-for-us-citizens,indonesia,us,yes,https://www.evisa-card.com/ru/indonesia-visa-for-us-citizens,297,0.2384,0.7616,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 23.8%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/ireland-visa-for-argentinian-citizens.html,/ru/ireland-visa-for-argentinian-citizens,ireland,argentinian,yes,https://www.evisa-card.com/ru/ireland-visa-for-argentinian-citizens,247,0.3745,0.6255,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 37.5%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/ireland-visa-for-australian-citizens.html,/ru/ireland-visa-for-australian-citizens,ireland,australian,yes,https://www.evisa-card.com/ru/ireland-visa-for-australian-citizens,248,0.373,0.627,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 37.3%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/ireland-visa-for-brazilian-citizens.html,/ru/ireland-visa-for-brazilian-citizens,ireland,brazilian,yes,https://www.evisa-card.com/ru/ireland-visa-for-brazilian-citizens,352,0.4669,0.5331,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 46.7%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/ireland-visa-for-canadian-citizens.html,/ru/ireland-visa-for-canadian-citizens,ireland,canadian,yes,https://www.evisa-card.com/ru/ireland-visa-for-canadian-citizens,247,0.3704,0.6296,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 37.0%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/ireland-visa-for-chinese-citizens.html,/ru/ireland-visa-for-chinese-citizens,ireland,chinese,yes,https://www.evisa-card.com/ru/ireland-visa-for-chinese-citizens,423,0.5376,0.4624,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa) different du regime majoritaire (evisa|etias)
ru,www2/ru/ireland-visa-for-french-citizens.html,/ru/ireland-visa-for-french-citizens,ireland,french,yes,https://www.evisa-card.com/ru/ireland-visa-for-french-citizens,201,0.44,0.56,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 44.0%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/ireland-visa-for-german-citizens.html,/ru/ireland-visa-for-german-citizens,ireland,german,yes,https://www.evisa-card.com/ru/ireland-visa-for-german-citizens,201,0.44,0.56,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 44.0%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/ireland-visa-for-indian-citizens.html,/ru/ireland-visa-for-indian-citizens,ireland,indian,yes,https://www.evisa-card.com/ru/ireland-visa-for-indian-citizens,315,0.5079,0.4921,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa) different du regime majoritaire (evisa|etias)
ru,www2/ru/ireland-visa-for-indonesian-citizens.html,/ru/ireland-visa-for-indonesian-citizens,ireland,indonesian,yes,https://www.evisa-card.com/ru/ireland-visa-for-indonesian-citizens,419,0.5403,0.4597,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa) different du regime majoritaire (evisa|etias)
ru,www2/ru/ireland-visa-for-japanese-citizens.html,/ru/ireland-visa-for-japanese-citizens,ireland,japanese,yes,https://www.evisa-card.com/ru/ireland-visa-for-japanese-citizens,352,0.4669,0.5331,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 46.7%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/ireland-visa-for-korean-citizens.html,/ru/ireland-visa-for-korean-citizens,ireland,korean,yes,https://www.evisa-card.com/ru/ireland-visa-for-korean-citizens,352,0.4669,0.5331,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 46.7%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/ireland-visa-for-mexican-citizens.html,/ru/ireland-visa-for-mexican-citizens,ireland,mexican,yes,https://www.evisa-card.com/ru/ireland-visa-for-mexican-citizens,352,0.4669,0.5331,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 46.7%, 0 impressions : non tranchable automatiquement"
